BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers,SR
Ariani,ct,M Wari,D Lohia,3,7,0,0,42.86
Ayu Kurnia,ct,M Ani,M Jayphert,6,12,0,0,50.00
Wesika,b,,B Vicky,35,41,4,0,85.37
Desi,b,,S Ambo,16,30,1,0,53.33
Thersiana Feibrene Catrina Penu Weo,b,,D Lohia,10,20,0,0,50.00
Talia,ro,,B Vicky,1,1,0,0,100.00
Gek Ulan,,,,1,6,0,0,16.67
Sang Ayu,b,,M Ani,3,3,0,0,100.00
Dwik,ro,,H Tau,1,2,0,0,50.00
Yoland,,,,0,0,0,0,
Sandia,,,,0,0,0,0,
Ika,,,,0,0,0,0,
Devi,,,,0,0,0,0,
Cao,,,,0,0,0,0,
