player name,method,R,B,M,4s,6s,SR
Gusti Ulansari,b Samaroo,9,17,-,1,0,52.94
Kadek Kurniartini,b Munisar,15,23,-,2,0,65.21
Ni Luh Dewi,lbw b Zaida James,14,21,-,2,0,66.66
Desi Wulandari,run out (Callender/†Fontaine),1,3,-,0,0,33.33
Thersiana Weo,b Joseph,8,13,-,1,0,61.53
Ni Ariani,run out (Callender/Joseph),0,0,-,0,0,-
Ni Murtiari,c Cumberbatch b Joseph,9,15,-,0,0,60
Ni Indriyani,c Mitchell b Joseph,5,8,-,1,0,62.5
Ni Suarniasih,run out (Sawh/†Fontaine),9,13,-,0,0,69.23
I Gusti Pratiwi,not out,2,7,-,0,0,28.57
Lie Qiao,not out,1,2,-,0,0,50
